name,cores,memory,storage,GPU,linux,windows,linux-low-priority,windows-low-priority,msft-r-server-linux,sql-web,sql-standard,sql-enterprise,biztalk-standard,biztalk-enterprise,oracle-java,redhat-enterprise-linux
NC6,6,56.00,340,1X K80,Standard_NC6 VM,Standard_NC6 VM (Windows),Standard_NC6 VM Low Priority,Standard_NC6 VM Low Priority (Windows),MSFT R Server for Linux (6 core),SQL Server Web (6 core),SQL Server Standard (6 core),SQL Server Enterprise (6 core),BizTalk Server Standard (6 core),BizTalk Server Enterprise (6 core),Java Development Environment (6 core),Red Hat Enterprise Linux (6 core)
NC12,12,112.00,680,2X K80,Standard_NC12 VM,Standard_NC12 VM (Windows),Standard_NC12 VM Low Priority,Standard_NC12 VM Low Priority (Windows),MSFT R Server for Linux (12 core),SQL Server Web (12 core),SQL Server Standard (12 core),SQL Server Enterprise (12 core),BizTalk Server Standard (12 core),BizTalk Server Enterprise (12 core),Java Development Environment (12 core),Red Hat Enterprise Linux (12 core)
NC24,24,224.00,1440,4X K80,Standard_NC24 VM,Standard_NC24 VM (Windows),Standard_NC24 VM Low Priority,Standard_NC24 VM Low Priority (Windows),MSFT R Server for Linux (24 core),SQL Server Web (24 core),SQL Server Standard (24 core),SQL Server Enterprise (24 core),BizTalk Server Standard (24 core),BizTalk Server Enterprise (24 core),Java Development Environment (24 core),Red Hat Enterprise Linux (24 core)
NC24r,24,224.00,1440,4X K80,Standard_NC24r VM,Standard_NC24r VM (Windows),Standard_NC24r VM Low Priority,Standard_NC24r VM Low Priority (Windows),MSFT R Server for Linux (24 core),SQL Server Web (24 core),SQL Server Standard (24 core),SQL Server Enterprise (24 core),BizTalk Server Standard (24 core),BizTalk Server Enterprise (24 core),Java Development Environment (24 core),Red Hat Enterprise Linux (24 core)
NV6,6,56.00,340,1X M60,Standard_NV6 VM,Standard_NV6 VM (Windows),Standard_NV6 VM Low Priority,Standard_NV6 VM Low Priority (Windows),MSFT R Server for Linux (6 core),SQL Server Web (6 core),SQL Server Standard (6 core),SQL Server Enterprise (6 core),BizTalk Server Standard (6 core),BizTalk Server Enterprise (6 core),Java Development Environment (6 core),Red Hat Enterprise Linux (6 core)
NV12,12,112.00,680,2X M60,Standard_NV12 VM,Standard_NV12 VM (Windows),Standard_NV12 VM Low Priority,Standard_NV12 VM Low Priority (Windows),MSFT R Server for Linux (12 core),SQL Server Web (12 core),SQL Server Standard (12 core),SQL Server Enterprise (12 core),BizTalk Server Standard (12 core),BizTalk Server Enterprise (12 core),Java Development Environment (12 core),Red Hat Enterprise Linux (12 core)
NV24,24,224.00,1440,4X M60,Standard_NV24 VM,Standard_NV24 VM (Windows),Standard_NV24 VM Low Priority,Standard_NV24 VM Low Priority (Windows),MSFT R Server for Linux (24 core),SQL Server Web (24 core),SQL Server Standard (24 core),SQL Server Enterprise (24 core),BizTalk Server Standard (24 core),BizTalk Server Enterprise (24 core),Java Development Environment (24 core),Red Hat Enterprise Linux (24 core)
L4,4,32.00,678,N/A,Standard_L4 VM,Standard_L4 VM (Windows),Standard_L4 VM Low Priority,Standard_L4 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
L8,8,64.00,1388,N/A,Standard_L8 VM,Standard_L8 VM (Windows),Standard_L8 VM Low Priority,Standard_L8 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
L16,16,128.00,2807,N/A,Standard_L16 VM,Standard_L16 VM (Windows),Standard_L16 VM Low Priority,Standard_L16 VM Low Priority (Windows),MSFT R Server for Linux (16 core),SQL Server Web (16 core),SQL Server Standard (16 core),SQL Server Enterprise (16 core),BizTalk Server Standard (16 core),BizTalk Server Enterprise (16 core),Java Development Environment (16 core),Red Hat Enterprise Linux (16 core)
L32,32,256.00,5630,N/A,Standard_L32 VM,Standard_L32 VM (Windows),Standard_L32 VM Low Priority,Standard_L32 VM Low Priority (Windows),MSFT R Server for Linux (32 core),SQL Server Web (32 core),SQL Server Standard (32 core),SQL Server Enterprise (32 core),BizTalk Server Standard (32 core),BizTalk Server Enterprise (32 core),Java Development Environment (32 core),Red Hat Enterprise Linux (32 core)
G1,2,28.00,384,N/A,Standard_G1 VM,Standard_G1 VM (Windows),Standard_G1 VM Low Priority,Standard_G1 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
G2,4,56.00,768,N/A,Standard_G2 VM,Standard_G2 VM (Windows),Standard_G2 VM Low Priority,Standard_G2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
G3,8,112.00,1536,N/A,Standard_G3 VM,Standard_G3 VM (Windows),Standard_G3 VM Low Priority,Standard_G3 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
G4,16,224.00,3072,N/A,Standard_G4 VM,Standard_G4 VM (Windows),Standard_G4 VM Low Priority,Standard_G4 VM Low Priority (Windows),MSFT R Server for Linux (16 core),SQL Server Web (16 core),SQL Server Standard (16 core),SQL Server Enterprise (16 core),BizTalk Server Standard (16 core),BizTalk Server Enterprise (16 core),Java Development Environment (16 core),Red Hat Enterprise Linux (16 core)
G5,32,448.00,6144,N/A,Standard_G5 VM,Standard_G5 VM (Windows),Standard_G5 VM Low Priority,Standard_G5 VM Low Priority (Windows),MSFT R Server for Linux (32 core),SQL Server Web (32 core),SQL Server Standard (32 core),SQL Server Enterprise (32 core),BizTalk Server Standard (32 core),BizTalk Server Enterprise (32 core),Java Development Environment (32 core),Red Hat Enterprise Linux (32 core)
